respondent_id,age,gender,state,education,employment_status,income,household_size,survey_weight,satisfaction_score,survey_date
RSP-2025-00063,29,Male,Uttar Pradesh,Primary,Unemployed,0.0,4,76.3322,7.0,2024-02-29
RSP-2025-00064,76,Female,Karnataka,Graduate,Unemployed,0.0,2,112.3971,6.0,2024-02-02
RSP-2025-00065,54,Male,Uttar Pradesh,Postgraduate,Employed,21269.92,1,85.0256,7.0,2024-04-24
RSP-2025-00066,67,Female,Tamil Nadu,Primary,Employed,35266.54,4,64.9157,7.0,2024-05-07
RSP-2025-00067,38,Male,Bihar,Primary,Student,0.0,3,108.3526,10.0,2024-01-03
RSP-2025-00068,40,Female,West Bengal,Primary,Self-Employed,,5,64.4716,2.0,2024-01-04
RSP-2025-00069,74,Female,West Bengal,Primary,Employed,55782.06,3,109.9579,10.0,2024-04-09
RSP-2025-00070,55,Female,Tamil Nadu,Higher Secondary,Retired,121543.37,4,43.8855,2.0,2024-01-04
RSP-2025-00071,43,Female,Maharashtra,None,Retired,30561.17,6,25.2491,10.0,2024-02-11
RSP-2025-00072,29,Male,Bihar,Higher Secondary,Employed,14948.34,3,108.4335,7.0,2024-01-09
RSP-2025-00073,59,Female,Karnataka,Higher Secondary,Employed,9829.82,3,77.759,10.0,2024-02-20
RSP-2025-00074,79,Male,Tamil Nadu,Postgraduate,Unemployed,0.0,4,112.3011,7.0,2024-05-24
RSP-2025-00075,23,Male,Karnataka,Postgraduate,Retired,55133.91,5,117.8812,7.0,2024-05-24
RSP-2025-00076,15,Male,Gujarat,None,Student,0.0,5,16.6405,5.0,2024-04-06
RSP-2025-00077,22,Female,West Bengal,Postgraduate,Employed,26861.18,4,67.861,1.0,2024-01-20
RSP-2025-00078,77,Male,Karnataka,Secondary,Employed,18342.45,9,53.4334,2.0,2024-05-21
RSP-2025-00079,25,Female,Uttar Pradesh,None,Unemployed,0.0,6,82.1608,9.0,2024-01-22
RSP-2025-00080,22,Female,Karnataka,Postgraduate,Unemployed,0.0,4,101.3662,8.0,2024-06-28
RSP-2025-00081,49,Female,Gujarat,None,Employed,48725.2,3,42.6276,8.0,2024-01-27
RSP-2025-00082,49,Male,Bihar,Higher Secondary,Student,0.0,2,74.2534,10.0,2024-02-12
RSP-2025-00083,47,Female,West Bengal,Higher Secondary,Self-Employed,75613.89,5,91.6494,1.0,2024-05-10
RSP-2025-00084,19,Male,Tamil Nadu,None,Student,0.0,3,25.8924,6.0,2024-04-03
RSP-2025-00085,55,Male,Gujarat,Secondary,Student,0.0,3,103.7107,9.0,2024-01-08
RSP-2025-00086,42,Male,West Bengal,Secondary,Self-Employed,11244.3,4,79.8995,8.0,2024-03-26
RSP-2025-00087,21,Male,Karnataka,None,Employed,11072.44,3,119.222,3.0,2024-03-29
RSP-2025-00088,26,Female,Bihar,Postgraduate,Self-Employed,24420.3,5,49.3761,4.0,2024-05-17
RSP-2025-00089,48,Female,Maharashtra,Graduate,Employed,37302.29,2,22.8827,3.0,2024-04-22
RSP-2025-00090,47,Male,Bihar,Secondary,Self-Employed,,6,68.4944,6.0,2024-06-05
RSP-2025-00091,62,Male,Maharashtra,Primary,Employed,42571.97,5,20.3253,9.0,2024-06-16
RSP-2025-00092,37,Male,Uttar Pradesh,Higher Secondary,Self-Employed,22977.19,1,121.5108,8.0,2024-01-21
RSP-2025-00093,76,Male,Bihar,None,Employed,13806.02,5,14.9294,,2024-05-31
RSP-2025-00094,51,Female,West Bengal,Primary,Employed,59844.23,4,96.7762,4.0,2024-06-02
RSP-2025-00095,58,Male,Maharashtra,None,Employed,14370.63,1,70.6242,2.0,2024-01-09
RSP-2025-00096,49,Male,Tamil Nadu,Higher Secondary,Employed,77536.54,6,52.7071,8.0,2024-05-27
RSP-2025-00097,79,Male,West Bengal,Higher Secondary,Self-Employed,22362.71,7,18.0389,8.0,2024-02-05
RSP-2025-00098,61,Female,Tamil Nadu,Secondary,Self-Employed,75650.43,2,81.7381,6.0,2024-02-05
RSP-2025-00099,17,Female,Bihar,Secondary,Unemployed,4182.733,1,77.5077,8.0,2024-03-13
RSP-2025-00100,15,Female,Tamil Nadu,Primary,Employed,24611.1,4,42.6611,9.0,2024-05-29
RSP-2025-00101,19,Female,Maharashtra,None,Employed,19194.76,3,114.7204,1.0,2024-01-01
RSP-2025-00102,28,Female,West Bengal,Higher Secondary,Employed,21556.01,3,45.3206,9.0,2024-03-09
RSP-2025-00103,41,Male,Karnataka,Primary,Employed,35539.71,1,61.9936,2.0,2024-02-06
RSP-2025-00104,23,Female,Gujarat,Graduate,Student,2828.6830000000004,3,72.7608,1.0,2024-03-12
RSP-2025-00105,29,Female,Maharashtra,Primary,Employed,18288.41,3,21.9766,8.0,2024-04-16
RSP-2025-00106,56,Female,Maharashtra,Postgraduate,Employed,24157.24,3,117.2325,8.0,2024-04-05
RSP-2025-00107,65,Female,Karnataka,Primary,Employed,28312.96,3,53.3844,4.0,2024-05-20
RSP-2025-00108,77,Female,West Bengal,Postgraduate,Employed,6743.42,2,19.7492,8.0,2024-03-24
RSP-2025-00109,66,Female,West Bengal,Postgraduate,Unemployed,0.0,6,54.8448,7.0,2024-02-12
RSP-2025-00110,18,Other,Bihar,Postgraduate,Self-Employed,14231.05,2,79.2232,2.0,2024-02-06
RSP-2025-00111,37,Female,Tamil Nadu,Graduate,Employed,12712.41,5,69.3132,5.0,2024-01-25
RSP-2025-00112,29,Female,Bihar,Primary,Employed,8984.23,3,90.0251,10.0,2024-05-28
RSP-2025-00113,57,Female,Karnataka,Primary,Employed,8383.07,3,16.8529,4.0,2024-06-17
RSP-2025-00114,43,Male,Bihar,Graduate,Employed,11147.37,4,43.0799,3.0,2024-03-13
RSP-2025-00115,50,Female,Karnataka,Higher Secondary,Employed,16968.88,4,104.3019,1.0,2024-06-18
RSP-2025-00116,27,Male,West Bengal,Secondary,Retired,,2,19.6478,5.0,2024-02-11
RSP-2025-00117,46,Female,Tamil Nadu,Primary,Self-Employed,19114.04,7,108.4531,10.0,2024-01-02
RSP-2025-00118,73,Other,Bihar,Secondary,Unemployed,0.0,7,21.0221,8.0,2024-05-15
RSP-2025-00119,42,Female,Maharashtra,None,Employed,34902.47,6,106.045,9.0,2024-04-05
RSP-2025-00120,80,Male,Uttar Pradesh,None,Employed,29295.59,3,51.8103,7.0,2024-03-01
RSP-2025-00121,56,Male,Gujarat,Graduate,Unemployed,0.0,6,80.5979,1.0,2024-01-14
RSP-2025-00122,59,Male,Maharashtra,None,Self-Employed,12370.37,6,28.0056,1.0,2024-04-22
RSP-2025-00123,76,Female,West Bengal,None,Self-Employed,69085.69,4,18.0763,1.0,2024-03-17
RSP-2025-00124,71,Male,Gujarat,Higher Secondary,Employed,87088.3,6,35.2249,2.0,2024-01-21
RSP-2025-00125,20,Male,Uttar Pradesh,Higher Secondary,Unemployed,0.0,7,25.1393,1.0,2024-05-31
RSP-2025-00126,42,Male,Uttar Pradesh,Higher Secondary,Employed,13827.04,5,46.2705,4.0,2024-06-26
RSP-2025-00127,42,Female,Tamil Nadu,None,Student,,5,69.3969,10.0,2024-06-21
RSP-2025-00128,58,Female,Gujarat,Graduate,Self-Employed,14372.19,6,77.913,9.0,2024-03-04
RSP-2025-00129,44,Male,Tamil Nadu,Postgraduate,Unemployed,0.0,6,100.9399,4.0,2024-06-02
RSP-2025-00130,76,Male,Maharashtra,,Employed,16757.87,5,85.6395,4.0,2024-06-08
RSP-2025-00131,76,Female,Karnataka,Secondary,Self-Employed,109895.64,4,80.2028,7.0,2024-02-26
RSP-2025-00132,15,Female,Karnataka,Postgraduate,Employed,58329.11,4,57.649,,2024-04-28
RSP-2025-00133,41,Female,Karnataka,Postgraduate,Employed,30889.55,2,64.7511,7.0,2024-06-09
RSP-2025-00134,76,Male,Gujarat,Higher Secondary,Employed,52446.09,4,57.9626,1.0,2024-02-21
RSP-2025-00135,17,Female,Karnataka,Higher Secondary,Self-Employed,55206.46,4,106.928,1.0,2024-04-04
RSP-2025-00136,84,Male,Maharashtra,None,Employed,18646.88,3,36.8351,4.0,2024-05-25
RSP-2025-00137,41,Female,Tamil Nadu,Secondary,Employed,15826.78,3,11.155,4.0,2024-06-11
RSP-2025-00138,23,Female,Gujarat,Primary,Student,0.0,2,85.0761,1.0,2024-05-19
RSP-2025-00139,76,Male,Tamil Nadu,Secondary,Employed,47101.66,6,33.6819,6.0,2024-06-27
RSP-2025-00140,51,Male,Gujarat,Secondary,Unemployed,0.0,4,112.4182,10.0,2024-03-29
RSP-2025-00141,65,Female,Tamil Nadu,Graduate,Employed,9652.31,5,108.8608,2.0,2024-01-10
RSP-2025-00142,58,Female,Uttar Pradesh,None,Employed,15965.16,3,19.2853,5.0,2024-02-21
RSP-2025-00143,38,Female,Tamil Nadu,Graduate,Self-Employed,25640.22,6,22.6815,8.0,2024-02-03
RSP-2025-00144,73,Female,Karnataka,Secondary,Employed,25612.03,5,67.1971,3.0,2024-04-24
RSP-2025-00145,46,Female,Uttar Pradesh,Secondary,Unemployed,0.0,4,80.256,9.0,2024-06-15
RSP-2025-00146,66,Female,Tamil Nadu,Secondary,Unemployed,0.0,6,41.977,7.0,2024-05-15
RSP-2025-00147,76,Male,Gujarat,,Self-Employed,37370.35,3,92.5733,9.0,2024-05-04
RSP-2025-00148,72,Female,Gujarat,Graduate,Self-Employed,,5,78.6179,1.0,2024-06-05
RSP-2025-00149,66,Male,Gujarat,Secondary,Employed,117764.52,4,47.6924,5.0,2024-05-29
RSP-2025-00150,26,Male,West Bengal,Higher Secondary,Employed,,6,13.405,3.0,2024-02-12
RSP-2025-00151,53,Other,Maharashtra,,Self-Employed,37027.98,4,96.3922,4.0,2024-06-25
RSP-2025-00152,16,Male,Gujarat,None,Unemployed,0.0,8,35.0893,4.0,2024-01-29
RSP-2025-00153,17,Male,Uttar Pradesh,Higher Secondary,Student,0.0,1,106.0472,7.0,2024-04-15
RSP-2025-00154,70,Male,Gujarat,None,Student,0.0,2,58.6232,10.0,2024-04-29
RSP-2025-00155,73,Female,West Bengal,Postgraduate,Student,0.0,2,76.5754,8.0,2024-03-21
RSP-2025-00156,16,Male,Karnataka,Postgraduate,Unemployed,0.0,4,110.4526,10.0,2024-01-31
RSP-2025-00157,16,Male,Uttar Pradesh,,Employed,41912.74,6,109.3848,5.0,2024-06-10
RSP-2025-00158,68,Male,West Bengal,Primary,Self-Employed,29202.68,2,53.039,10.0,2024-05-07
RSP-2025-00159,15,Male,Karnataka,Primary,Unemployed,0.0,5,34.4178,7.0,2024-02-07
RSP-2025-00160,33,Male,Bihar,None,Employed,101768.96,5,99.2542,3.0,2024-04-10
RSP-2025-00161,16,Male,Bihar,Postgraduate,Student,1734.905,6,60.0877,3.0,2024-05-11
RSP-2025-00162,67,Female,Uttar Pradesh,Postgraduate,Student,0.0,4,32.4888,3.0,2024-05-09
RSP-2025-00163,58,Male,Tamil Nadu,Postgraduate,Unemployed,9817.527,4,114.0567,4.0,2024-01-12
RSP-2025-00164,46,Male,Maharashtra,Higher Secondary,Employed,15664.62,4,33.1829,6.0,2024-02-04
RSP-2025-00165,84,Male,Maharashtra,Postgraduate,Employed,18815.29,3,13.4549,5.0,2024-04-19
RSP-2025-00166,46,Male,West Bengal,Higher Secondary,Student,0.0,3,12.8221,8.0,2024-03-12
RSP-2025-00167,82,Female,Karnataka,Primary,Retired,46466.06,1,81.7551,5.0,2024-05-28
RSP-2025-00168,69,Female,Maharashtra,Primary,Employed,30793.89,6,86.2618,5.0,2024-04-19
RSP-2025-00169,70,Male,Karnataka,None,Employed,11611.99,8,46.1143,,2024-03-01
RSP-2025-00170,31,Male,Karnataka,Primary,Student,0.0,3,47.1413,2.0,2024-06-11
RSP-2025-00171,52,Male,West Bengal,None,Employed,18128.12,2,49.3721,5.0,2024-02-17
RSP-2025-00172,38,Female,West Bengal,Secondary,Unemployed,0.0,6,88.3782,7.0,2024-05-22
RSP-2025-00173,83,Female,West Bengal,Secondary,Retired,35482.62,2,17.1563,2.0,2024-03-11
RSP-2025-00174,84,Female,Maharashtra,Graduate,Employed,35306.9,6,116.8838,6.0,2024-05-22
RSP-2025-00175,25,Male,Bihar,None,Self-Employed,8481.07,3,35.9787,7.0,2024-05-13
RSP-2025-00176,30,Female,West Bengal,Graduate,Employed,53721.13,3,124.9626,5.0,2024-03-08
RSP-2025-00177,73,Male,Maharashtra,Graduate,Employed,31703.1,1,30.1393,9.0,2024-01-22
RSP-2025-00178,84,Male,West Bengal,Secondary,Student,0.0,3,98.8421,4.0,2024-02-01
RSP-2025-00179,17,Male,Gujarat,None,Employed,35908.49,4,36.0807,10.0,2024-05-02
RSP-2025-00180,34,Male,Karnataka,Secondary,Retired,55042.45,4,19.757,1.0,2024-01-22
RSP-2025-00181,73,Female,West Bengal,Graduate,Unemployed,3643.388,3,110.6799,8.0,2024-06-03
RSP-2025-00182,50,Female,Uttar Pradesh,None,Employed,64540.41,2,108.827,8.0,2024-04-19
RSP-2025-00183,33,Male,Karnataka,Graduate,Employed,37777.27,8,56.7088,7.0,2024-01-15
RSP-2025-00184,81,Female,Karnataka,Postgraduate,Employed,25244.29,3,90.9244,8.0,2024-05-03
RSP-2025-00185,33,Other,West Bengal,None,Employed,117839.94,4,74.284,2.0,2024-02-13
RSP-2025-00186,34,Female,Bihar,None,Employed,47948.08,4,108.1635,3.0,2024-04-24
RSP-2025-00187,66,Female,Tamil Nadu,Graduate,Employed,39063.11,7,46.5739,9.0,2024-01-09
RSP-2025-00188,47,Female,Bihar,Postgraduate,Unemployed,0.0,5,70.4605,1.0,2024-02-03
RSP-2025-00189,54,Other,West Bengal,Higher Secondary,Self-Employed,11644.63,1,66.0751,8.0,2024-03-13
RSP-2025-00190,53,Female,Karnataka,Secondary,Self-Employed,32541.29,2,51.0222,8.0,2024-05-22
RSP-2025-00191,15,Male,Uttar Pradesh,Graduate,Self-Employed,29572.16,4,112.5716,7.0,2024-02-14
RSP-2025-00192,25,Male,Karnataka,None,Employed,18048.54,6,29.493,5.0,2024-03-12
RSP-2025-00193,71,Female,Bihar,Secondary,Employed,29485.05,4,27.6187,4.0,2024-02-27
RSP-2025-00194,64,Male,Uttar Pradesh,Secondary,Self-Employed,75554.35,4,76.5561,,2024-04-24
RSP-2025-00195,37,Female,Maharashtra,Secondary,Unemployed,0.0,6,85.7831,10.0,2024-01-19
RSP-2025-00196,45,Male,Gujarat,Higher Secondary,Employed,12814.65,6,32.7839,10.0,2024-01-16
RSP-2025-00197,56,Male,Karnataka,Primary,Student,0.0,3,55.2371,10.0,2024-03-15
RSP-2025-00198,21,Male,West Bengal,Graduate,Self-Employed,15942.95,2,118.8816,6.0,2024-04-15
RSP-2025-00199,30,Male,Maharashtra,Primary,Unemployed,0.0,6,38.7377,1.0,2024-05-15
RSP-2025-00200,74,Female,Gujarat,Primary,Employed,20560.97,2,87.0273,5.0,2024-06-09
RSP-2025-00201,16,Female,West Bengal,Primary,Self-Employed,19722.8,3,95.2471,4.0,2024-03-14
RSP-2025-00202,15,Female,Tamil Nadu,Secondary,Unemployed,0.0,4,61.8107,4.0,2024-01-18
RSP-2025-00203,62,Female,West Bengal,Postgraduate,Self-Employed,24760.98,5,117.8467,,2024-06-11
RSP-2025-00204,26,Male,Uttar Pradesh,Secondary,Self-Employed,18687.4,1,94.8472,9.0,2024-02-12
RSP-2025-00205,83,Female,Uttar Pradesh,Secondary,Student,400.724,2,62.9324,8.0,2024-02-19
RSP-2025-00206,51,Female,Tamil Nadu,None,Unemployed,0.0,7,75.6889,8.0,2024-01-03
RSP-2025-00207,46,Female,Maharashtra,None,Employed,54595.15,5,89.8042,5.0,2024-02-28
RSP-2025-00208,23,Male,Gujarat,Primary,Self-Employed,21065.77,6,78.3058,6.0,2024-01-28
RSP-2025-00209,33,Female,West Bengal,Secondary,Self-Employed,27234.3,5,111.1109,2.0,2024-02-15
RSP-2025-00210,62,Male,Uttar Pradesh,Primary,Self-Employed,,4,51.3638,3.0,2024-03-04
RSP-2025-00211,17,Other,Maharashtra,None,Employed,81001.25,4,44.8369,5.0,2024-03-10
RSP-2025-00212,34,Female,Tamil Nadu,Postgraduate,Employed,92340.46,4,34.9846,2.0,2024-02-16
RSP-2025-00213,38,Male,Bihar,Graduate,Student,0.0,5,14.8261,3.0,2024-05-21
RSP-2025-00214,68,Female,Karnataka,Primary,Self-Employed,52328.42,3,15.4251,4.0,2024-05-14
RSP-2025-00215,47,Female,Bihar,Postgraduate,Retired,30149.89,5,110.1213,6.0,2024-06-07
RSP-2025-00216,38,Male,Bihar,Graduate,Self-Employed,11283.86,5,88.176,5.0,2024-04-15
RSP-2025-00217,50,Female,Uttar Pradesh,Higher Secondary,Unemployed,0.0,1,86.131,10.0,2024-03-21
RSP-2025-00218,52,Female,Tamil Nadu,Primary,Self-Employed,29312.03,6,80.8766,4.0,2024-02-20
RSP-2025-00219,39,Male,West Bengal,Primary,Student,,5,107.7356,,2024-01-29
RSP-2025-00220,32,Male,Bihar,Higher Secondary,Unemployed,0.0,5,65.4906,5.0,2024-04-22
RSP-2025-00221,80,Male,Bihar,Higher Secondary,Self-Employed,25351.43,5,110.162,,2024-05-22
RSP-2025-00222,68,Male,Gujarat,Primary,Employed,25525.39,7,51.6565,7.0,2024-05-07
RSP-2025-00223,49,Male,Uttar Pradesh,Higher Secondary,Unemployed,0.0,5,116.608,1.0,2024-03-30
RSP-2025-00224,75,Female,Uttar Pradesh,Secondary,Self-Employed,13502.18,4,90.4962,4.0,2024-01-25
RSP-2025-00225,55,Male,West Bengal,Graduate,Employed,16880.92,2,39.9468,5.0,2024-02-10
RSP-2025-00226,47,Male,Karnataka,Graduate,Employed,11672.84,5,75.0877,8.0,2024-03-09
RSP-2025-00227,82,Female,Maharashtra,Graduate,Employed,50796.37,3,71.532,8.0,2024-01-04
RSP-2025-00228,47,Female,Gujarat,Secondary,Employed,6845.38,1,26.2894,1.0,2024-04-14
RSP-2025-00229,28,Male,Uttar Pradesh,Higher Secondary,Employed,56944.58,3,78.1973,5.0,2024-01-31
RSP-2025-00230,35,Male,Gujarat,Postgraduate,Employed,66245.78,9,46.543,10.0,2024-05-10
RSP-2025-00231,62,Male,Uttar Pradesh,Higher Secondary,Retired,22105.52,4,16.4939,1.0,2024-04-26
RSP-2025-00232,34,Female,Gujarat,Primary,Unemployed,0.0,6,119.1211,1.0,2024-03-30
RSP-2025-00233,22,Male,Tamil Nadu,None,Employed,21272.03,4,83.9506,2.0,2024-06-26
RSP-2025-00234,21,Female,Bihar,Graduate,Employed,25803.88,5,110.9072,2.0,2024-05-24
RSP-2025-00235,81,Female,Uttar Pradesh,Higher Secondary,Self-Employed,13948.28,4,87.9084,9.0,2024-03-06
RSP-2025-00236,31,Male,Gujarat,Postgraduate,Employed,19246.95,5,51.3746,4.0,2024-03-28
RSP-2025-00237,47,Female,Maharashtra,Primary,Student,0.0,4,69.2028,3.0,2024-01-24
RSP-2025-00238,62,Other,Tamil Nadu,Secondary,Self-Employed,41448.32,5,87.873,1.0,2024-04-08
RSP-2025-00239,73,Male,Tamil Nadu,Secondary,Self-Employed,14750.52,5,120.4489,2.0,2024-06-08
RSP-2025-00240,36,Female,Maharashtra,Postgraduate,Employed,9523.91,4,39.5452,6.0,2024-04-14
RSP-2025-00241,44,Female,Gujarat,Primary,Self-Employed,,5,110.6849,9.0,2024-01-19
RSP-2025-00242,52,Female,West Bengal,Graduate,Employed,23417.83,8,116.3069,5.0,2024-03-06
RSP-2025-00243,65,Female,Maharashtra,Higher Secondary,Retired,37142.96,3,87.2626,4.0,2024-02-29
RSP-2025-00244,68,Female,Gujarat,Primary,Self-Employed,18997.15,2,117.13,5.0,2024-04-24
RSP-2025-00245,22,Female,Maharashtra,Secondary,Employed,37514.2,1,56.0571,9.0,2024-01-15
RSP-2025-00246,41,Female,Maharashtra,Postgraduate,Employed,,6,119.6204,7.0,2024-03-25
RSP-2025-00247,41,Female,Uttar Pradesh,Postgraduate,Employed,45710.15,4,90.9686,8.0,2024-06-11
RSP-2025-00248,35,Female,Gujarat,Higher Secondary,Self-Employed,26075.27,3,15.3097,4.0,2024-06-03
RSP-2025-00249,44,Female,West Bengal,Postgraduate,Employed,23883.72,2,114.3369,8.0,2024-03-28
RSP-2025-00250,42,Male,Bihar,Postgraduate,Unemployed,0.0,5,65.9721,6.0,2024-01-07
RSP-2025-00251,78,Male,Uttar Pradesh,Primary,Employed,57954.68,4,63.2074,5.0,2024-01-06
RSP-2025-00252,83,Male,Maharashtra,Graduate,Self-Employed,17894.46,6,75.3604,7.0,2024-05-04
RSP-2025-00253,75,Male,Bihar,Higher Secondary,Student,0.0,3,27.6045,6.0,2024-02-02
RSP-2025-00254,62,Male,Karnataka,Primary,Self-Employed,27813.55,2,64.2195,3.0,2024-02-27
RSP-2025-00255,33,Female,Bihar,Graduate,Self-Employed,19415.76,2,105.6641,5.0,2024-06-25
RSP-2025-00256,18,Male,Maharashtra,Primary,Employed,11024.74,8,12.2727,9.0,2024-05-24
